time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2026-09-12T10:23:43.10Z,47.9039923,2.1708125,145.459,-16.84,-26.74,27.37,0.507,0.948,0.20,237.80399,0.28422,3,15
2026-09-12T10:23:43.20Z,47.9039772,2.1707764,142.796,-16.79,-27.28,26.04,0.507,0.949,0.20,238.39080,0.28036,3,15
2026-09-12T10:23:43.40Z,47.9039463,2.1707022,137.835,-17.62,-28.20,23.51,0.508,0.954,0.19,238.00460,0.27067,3,15
2026-09-12T10:23:43.50Z,47.9039303,2.1706643,135.533,-17.82,-28.54,22.50,0.507,0.954,0.19,238.02086,0.26677,3,15
2026-09-12T10:23:43.60Z,47.9039142,2.1706259,133.344,-18.10,-28.96,21.24,0.507,0.954,0.18,237.98341,0.26276,3,15
2026-09-12T10:23:43.70Z,47.9038978,2.1705870,131.293,-18.36,-29.18,19.69,0.506,0.954,0.18,237.82535,0.26847,3,15
2026-09-12T10:23:43.80Z,47.9038812,2.1705478,129.388,-18.73,-29.52,18.36,0.505,0.953,0.17,237.61102,0.26874,3,15
2026-09-12T10:23:43.90Z,47.9038643,2.1705081,127.621,-18.84,-29.80,17.05,0.504,0.952,0.17,237.70373,0.26649,3,15
2026-09-12T10:23:44.00Z,47.9038474,2.1704684,125.991,-18.92,-29.71,15.63,0.503,0.951,0.16,237.51030,0.26542,3,15
2026-09-12T10:23:44.10Z,47.9038304,2.1704287,124.483,-19.05,-29.73,14.18,0.502,0.950,0.16,237.35739,0.26468,3,15
2026-09-12T10:23:44.20Z,47.9038133,2.1703889,123.132,-19.06,-29.93,12.73,0.501,0.949,0.16,237.51230,0.27710,3,15
2026-09-12T10:23:44.30Z,47.9037964,2.1703489,121.906,-18.59,-29.95,11.59,0.500,0.948,0.16,238.17070,0.27932,3,15
2026-09-12T10:23:44.40Z,47.9037798,2.1703089,120.805,-18.35,-29.88,10.26,0.499,0.947,0.15,238.43723,0.28090,3,15
2026-09-12T10:23:44.50Z,47.9037633,2.1702689,119.861,-18.27,-30.09,8.65,0.498,0.946,0.15,238.73079,0.28483,3,15
2026-09-12T10:23:44.60Z,47.9037472,2.1702287,119.041,-17.61,-30.10,7.49,0.497,0.944,0.15,239.66283,0.28811,3,15
2026-09-12T10:23:44.70Z,47.9037316,2.1701885,118.350,-17.12,-30.07,6.56,0.496,0.943,0.15,240.34312,0.29806,3,15
2026-09-12T10:23:44.80Z,47.9037164,2.1701485,117.721,-16.77,-29.87,5.54,0.495,0.941,0.14,240.69175,0.31050,3,15
2026-09-12T10:23:44.90Z,47.9037015,2.1701087,117.219,-16.38,-29.82,4.41,0.495,0.940,0.13,241.21138,0.30628,3,15
2026-09-12T10:23:45.00Z,47.9036872,2.1700689,116.805,-15.45,-29.74,3.76,0.494,0.938,0.13,242.55284,0.31193,3,15
2026-09-12T10:23:45.10Z,47.9036737,2.1700293,116.448,-14.74,-29.53,3.02,0.493,0.937,0.13,243.48221,0.32434,3,15
2026-09-12T10:23:45.20Z,47.9036609,2.1699899,116.148,-13.79,-29.50,2.46,0.492,0.935,0.12,244.95556,0.33817,3,15
2026-09-12T10:23:45.40Z,47.9036378,2.1699115,115.704,-12.02,-29.12,1.63,0.494,0.936,0.13,247.57880,0.38472,3,15
2026-09-12T10:23:45.50Z,47.9036275,2.1698726,115.545,-10.94,-28.94,1.40,0.494,0.934,0.12,249.29009,0.39041,3,15
2026-09-12T10:23:45.60Z,47.9036181,2.1698339,115.441,-10.35,-28.93,0.85,0.494,0.932,0.13,250.30997,0.40124,3,15
2026-09-12T10:23:45.70Z,47.9036092,2.1697954,115.365,-9.46,-28.65,0.33,0.494,0.932,0.13,251.72925,0.40787,3,15
2026-09-12T10:23:45.80Z,47.9036013,2.1697573,115.312,-8.18,-28.37,0.38,0.494,0.931,0.13,253.91898,0.43235,3,15
2026-09-12T10:23:45.90Z,47.9035941,2.1697198,115.309,-7.98,-27.90,-0.07,0.494,0.929,0.13,254.04059,0.43499,3,15
2026-09-12T10:23:46.00Z,47.9035871,2.1696828,115.349,-7.61,-27.46,-0.61,0.494,0.928,0.13,254.50302,0.43301,3,15
2026-09-12T10:23:46.10Z,47.9035807,2.1696463,115.410,-6.68,-27.21,-0.62,0.493,0.927,0.12,256.21477,0.43321,3,14
2026-09-12T10:23:46.20Z,47.9035748,2.1696102,115.519,-6.53,-26.89,-1.24,0.493,0.925,0.11,256.34179,0.36687,3,15
2026-09-12T10:23:46.30Z,47.9035691,2.1695745,115.613,-6.19,-26.60,-1.17,0.492,0.924,0.11,256.89429,0.37151,3,15
2026-09-12T10:23:46.40Z,47.9035637,2.1695392,115.703,-5.85,-26.19,-1.16,0.491,0.922,0.11,257.40799,0.37803,3,15
2026-09-12T10:23:46.50Z,47.9035585,2.1695046,115.830,-5.71,-25.78,-1.11,0.491,0.920,0.11,257.52172,0.39028,3,15
2026-09-12T10:23:46.60Z,47.9035535,2.1694703,115.921,-5.32,-25.57,-0.90,0.490,0.918,0.11,258.25251,0.40575,3,15
2026-09-12T10:23:46.70Z,47.9035487,2.1694364,116.000,-5.38,-25.10,-0.88,0.490,0.917,0.11,257.89635,0.39234,3,15
2026-09-12T10:23:46.80Z,47.9035442,2.1694033,116.105,-4.84,-24.69,-0.67,0.489,0.915,0.11,258.91515,0.41110,3,15
2026-09-12T10:23:46.90Z,47.9035399,2.1693704,116.123,-4.56,-24.45,-0.50,0.488,0.913,0.11,259.43638,0.41045,3,15
2026-09-12T10:23:47.00Z,47.9035359,2.1693382,116.183,-4.42,-23.91,-0.37,0.488,0.912,0.11,259.52800,0.42902,3,15
2026-09-12T10:23:47.10Z,47.9035319,2.1693064,116.205,-4.45,-23.63,-0.29,0.487,0.910,0.11,259.33741,0.42769,3,15
2026-09-12T10:23:47.20Z,47.9035281,2.1692751,116.224,-4.04,-23.30,-0.18,0.486,0.909,0.11,260.16287,0.44029,3,15
2026-09-12T10:23:47.40Z,47.9035208,2.1692137,116.239,-4.06,-22.60,-0.07,0.488,0.910,0.12,259.81394,0.47708,3,15
2026-09-12T10:23:47.50Z,47.9035172,2.1691837,116.246,-4.00,-22.33,-0.13,0.487,0.909,0.12,259.83742,0.48371,3,15
2026-09-12T10:23:47.60Z,47.9035136,2.1691542,116.257,-4.06,-21.90,-0.03,0.487,0.908,0.12,259.49137,0.49564,3,15
2026-09-12T10:23:47.70Z,47.9035099,2.1691251,116.250,-4.07,-21.68,-0.18,0.487,0.907,0.12,259.37888,0.49316,3,15
2026-09-12T10:23:47.80Z,47.9035064,2.1690965,116.258,-3.91,-21.25,-0.05,0.486,0.905,0.13,259.57073,0.50559,3,15
2026-09-12T10:23:47.90Z,47.9035028,2.1690684,116.268,-4.13,-20.79,-0.06,0.486,0.904,0.13,258.76943,0.49872,3,15
2026-09-12T10:23:48.00Z,47.9034991,2.1690409,116.292,-4.11,-20.43,-0.18,0.485,0.903,0.13,258.61546,0.50545,3,15
2026-09-12T10:23:48.10Z,47.9034954,2.1690138,116.317,-4.20,-20.12,-0.27,0.485,0.901,0.13,258.20999,0.51697,3,15
2026-09-12T10:23:48.20Z,47.9034916,2.1689871,116.326,-4.40,-19.94,-0.19,0.484,0.900,0.13,257.56306,0.54442,3,15
2026-09-12T10:23:48.30Z,47.9034877,2.1689606,116.354,-4.42,-19.73,-0.21,0.484,0.898,0.15,257.37993,0.56314,3,15
2026-09-12T10:23:48.40Z,47.9034837,2.1689344,116.365,-4.51,-19.53,-0.10,0.484,0.897,0.15,256.98461,0.56327,3,15
2026-09-12T10:23:48.50Z,47.9034797,2.1689085,116.379,-4.43,-19.12,0.09,0.484,0.896,0.15,256.96848,0.57298,3,15
2026-09-12T10:23:48.60Z,47.9034757,2.1688832,116.356,-4.54,-18.78,0.42,0.485,0.894,0.15,256.40850,0.58976,3,15
2026-09-12T10:23:48.70Z,47.9034717,2.1688581,116.305,-4.55,-18.75,0.66,0.485,0.893,0.15,256.35453,0.57899,3,15
2026-09-12T10:23:48.80Z,47.9034676,2.1688333,116.218,-4.44,-18.41,0.92,0.485,0.891,0.15,256.43952,0.60071,3,15
2026-09-12T10:23:48.90Z,47.9034637,2.1688094,116.136,-4.31,-17.45,0.83,0.485,0.890,0.16,256.11687,0.64875,3,15
2026-09-12T10:23:49.00Z,47.9034599,2.1687860,116.078,-4.39,-17.68,0.34,0.485,0.889,0.15,256.05772,0.63811,3,15
2026-09-12T10:23:49.10Z,47.9034560,2.1687627,116.033,-4.33,-17.17,0.39,0.486,0.888,0.17,255.84103,0.68153,3,15
2026-09-12T10:23:49.20Z,47.9034521,2.1687399,115.996,-4.35,-17.01,0.23,0.486,0.888,0.17,255.65911,0.69239,3,15
2026-09-12T10:23:49.30Z,47.9034482,2.1687173,115.963,-4.28,-16.78,0.23,0.487,0.887,0.17,255.67885,0.70174,3,15
2026-09-12T10:23:49.40Z,47.9034445,2.1686950,115.950,-4.14,-16.65,0.11,0.487,0.886,0.17,256.02597,0.70466,3,15
2026-09-12T10:23:49.50Z,47.9034408,2.1686731,115.938,-4.02,-16.18,0.26,0.488,0.886,0.16,256.03657,0.70722,3,15
2026-09-12T10:23:49.60Z,47.9034373,2.1686516,115.914,-3.89,-16.06,0.22,0.488,0.885,0.15,256.39688,0.70945,3,15
2026-09-12T10:23:49.70Z,47.9034338,2.1686305,115.878,-3.93,-15.58,0.28,0.488,0.884,0.15,255.85363,0.73050,3,15
2026-09-12T10:23:49.80Z,47.9034304,2.1686100,115.862,-3.83,-15.15,0.15,0.488,0.884,0.15,255.82808,0.72544,3,15
2026-09-12T10:23:49.90Z,47.9034270,2.1685900,115.855,-3.71,-14.92,0.20,0.488,0.883,0.15,256.02994,0.73525,3,15
2026-09-12T10:23:50.00Z,47.9034238,2.1685702,115.819,-3.61,-14.62,0.24,0.489,0.882,0.15,256.11561,0.76998,3,15
2026-09-12T10:23:50.10Z,47.9034205,2.1685509,115.778,-3.67,-14.32,0.34,0.489,0.881,0.16,255.62778,0.79651,3,15
2026-09-12T10:23:50.20Z,47.9034172,2.1685320,115.739,-3.65,-14.08,0.53,0.489,0.880,0.16,255.48411,0.80506,3,15
2026-09-12T10:23:50.30Z,47.9034140,2.1685135,115.679,-3.66,-13.68,0.53,0.490,0.879,0.16,255.01661,0.82817,3,15
2026-09-12T10:23:50.40Z,47.9034107,2.1684953,115.615,-3.60,-13.47,0.45,0.490,0.878,0.16,255.03716,0.84076,3,15
2026-09-12T10:23:50.50Z,47.9034076,2.1684776,115.564,-3.46,-13.15,0.49,0.490,0.877,0.16,255.27347,0.86171,3,15
2026-09-12T10:23:50.60Z,47.9034045,2.1684603,115.509,-3.41,-12.80,0.50,0.491,0.876,0.16,255.09479,0.88543,3,15
2026-09-12T10:23:50.70Z,47.9034014,2.1684433,115.434,-3.40,-12.58,0.65,0.491,0.875,0.16,254.86625,0.90069,3,15
2026-09-12T10:23:50.80Z,47.9033983,2.1684269,115.383,-3.51,-12.20,0.61,0.492,0.874,0.16,253.93111,0.95372,3,15
2026-09-12T10:23:50.90Z,47.9033952,2.1684107,115.306,-3.46,-11.97,0.61,0.492,0.874,0.16,253.87590,0.97605,3,15
2026-09-12T10:23:51.00Z,47.9033921,2.1683948,115.241,-3.50,-11.90,0.67,0.493,0.874,0.16,253.59731,0.98448,3,15
2026-09-12T10:23:51.10Z,47.9033890,2.1683792,115.165,-3.53,-11.61,0.96,0.493,0.873,0.16,253.08494,0.97436,3,15
2026-09-12T10:23:51.20Z,47.9033858,2.1683637,115.051,-3.42,-11.47,0.99,0.493,0.872,0.14,253.40664,0.92484,3,15
2026-09-12T10:23:51.30Z,47.9033828,2.1683486,114.931,-3.32,-11.10,1.20,0.493,0.871,0.14,253.36144,0.95583,3,15
2026-09-12T10:23:51.40Z,47.9033802,2.1683348,114.784,-2.76,-9.64,1.70,0.492,0.870,0.14,254.00101,1.10336,3,15
2026-09-12T10:23:51.50Z,47.9033779,2.1683224,114.681,-2.44,-9.11,0.44,0.493,0.869,0.16,254.97744,1.25205,3,15
2026-09-12T10:23:51.60Z,47.9033754,2.1683100,114.712,-3.13,-9.58,-0.86,0.493,0.869,0.16,251.91496,1.21443,3,15
2026-09-12T10:23:51.70Z,47.9033726,2.1682975,114.755,-3.08,-9.12,-0.07,0.494,0.868,0.16,251.34893,1.27494,3,15
2026-09-12T10:23:51.80Z,47.9033700,2.1682862,114.772,-2.83,-7.98,-0.19,0.494,0.867,0.14,250.48951,1.34346,3,16
2026-09-12T10:23:51.90Z,47.9033676,2.1682756,114.790,-2.62,-7.80,-0.09,0.494,0.865,0.14,251.43009,1.31423,3,16
2026-09-12T10:23:52.00Z,47.9033653,2.1682657,114.819,-2.67,-7.37,0.06,0.494,0.864,0.13,250.65196,1.36943,3,16
2026-09-12T10:23:52.10Z,47.9033630,2.1682571,114.825,-2.46,-5.44,-0.16,0.493,0.862,0.12,248.24038,1.61475,3,16
2026-09-12T10:23:52.20Z,47.9033610,2.1682491,114.803,-2.12,-6.55,0.23,0.492,0.861,0.14,250.51557,1.49174,3,16
2026-09-12T10:23:52.30Z,47.9033592,2.1682411,114.803,-2.03,-5.42,0.10,0.492,0.859,0.13,250.02902,1.72047,3,16
2026-09-12T10:23:52.40Z,47.9033575,2.1682344,114.806,-1.90,-4.75,-0.25,0.492,0.857,0.13,249.16407,1.95595,3,16
2026-09-12T10:23:52.50Z,47.9033559,2.1682282,114.818,-1.64,-4.54,-0.04,0.491,0.856,0.13,249.64412,2.20637,3,16
2026-09-12T10:23:52.60Z,47.9033544,2.1682225,114.824,-1.68,-3.97,-0.04,0.491,0.854,0.13,248.42485,2.48176,3,16
2026-09-12T10:23:52.70Z,47.9033530,2.1682174,114.840,-1.61,-3.80,-0.29,0.491,0.853,0.12,247.71337,2.57288,3,16
2026-09-12T10:23:52.80Z,47.9033515,2.1682128,114.862,-1.68,-3.16,-0.04,0.490,0.852,0.12,245.18322,2.94820,3,16
2026-09-12T10:23:52.90Z,47.9033500,2.1682091,114.879,-1.82,-2.22,-0.71,0.490,0.850,0.12,239.13481,3.54081,3,16
2026-09-12T10:23:53.00Z,47.9033489,2.1682058,114.960,-0.61,-2.70,-1.18,0.489,0.849,0.12,248.55241,3.44254,3,16
2026-09-12T10:23:53.10Z,47.9033483,2.1682024,115.063,-0.84,-2.70,-0.21,0.488,0.848,0.11,250.80356,3.20314,3,16
2026-09-12T10:23:53.20Z,47.9033477,2.1681997,115.104,-0.65,-1.40,-0.65,0.487,0.846,0.12,249.53476,5.97678,3,16
2026-09-12T10:23:53.30Z,47.9033472,2.1681980,115.199,-0.38,-1.10,-0.98,0.486,0.845,0.16,250.10074,7.85280,3,16
2026-09-12T10:23:53.40Z,47.9033470,2.1681964,115.281,-0.27,-1.34,-1.03,0.485,0.844,0.16,255.07331,6.54849,3,16
2026-09-12T10:23:53.50Z,47.9033468,2.1681943,115.380,-0.11,-1.76,-0.55,0.484,0.843,0.13,262.03480,5.26689,3,16
2026-09-12T10:23:53.60Z,47.9033465,2.1681922,115.453,-0.68,-1.57,-0.25,0.483,0.841,0.12,254.70775,5.56040,3,16
2026-09-12T10:23:53.70Z,47.9033458,2.1681905,115.511,-0.96,-1.18,-0.25,0.482,0.838,0.14,243.34680,5.88007,3,16
2026-09-12T10:23:53.80Z,47.9033448,2.1681897,115.584,-1.08,-0.23,-0.49,0.481,0.835,0.17,222.36862,7.06985,3,16
2026-09-12T10:23:53.90Z,47.9033437,2.1681894,115.629,-1.28,-0.35,-0.58,0.480,0.833,0.17,206.45964,5.92291,3,16
2026-09-12T10:23:54.00Z,47.9033429,2.1681893,115.741,-0.71,0.14,-0.66,0.479,0.830,0.17,198.79163,11.66282,3,16
2026-09-12T10:23:54.10Z,47.9033422,2.1681898,115.842,-0.70,0.49,-1.15,0.478,0.827,0.19,169.19265,10.51498,3,16
2026-09-12T10:23:54.20Z,47.9033417,2.1681904,115.977,-0.45,0.20,-1.20,0.477,0.824,0.21,165.28013,15.98361,3,16
2026-09-12T10:23:54.30Z,47.9033413,2.1681908,116.028,-0.27,0.19,0.20,0.476,0.821,0.17,159.29403,24.43024,3,16
2026-09-12T10:23:54.40Z,47.9033410,2.1681911,116.020,-0.31,0.01,0.40,0.475,0.819,0.20,168.16065,25.63019,3,16
2026-09-12T10:23:54.50Z,47.9033405,2.1681909,116.060,-0.70,-0.37,-0.44,0.474,0.816,0.17,202.82636,9.44451,3,16
2026-09-12T10:23:54.60Z,47.9033398,2.1681904,116.136,-0.71,-0.46,-0.36,0.473,0.813,0.17,208.12876,9.21412,3,16
2026-09-12T10:23:54.70Z,47.9033392,2.1681899,116.168,-0.59,-0.39,0.33,0.473,0.811,0.18,210.18518,11.61491,3,16
2026-09-12T10:23:54.80Z,47.9033386,2.1681894,116.174,-0.79,-0.54,0.35,0.472,0.808,0.18,212.77785,8.47313,3,16
2026-09-12T10:23:54.90Z,47.9033378,2.1681888,116.197,-0.83,-0.46,-0.03,0.471,0.806,0.17,210.82158,8.45748,3,16
2026-09-12T10:23:55.00Z,47.9033372,2.1681884,116.225,-0.51,-0.15,-0.09,0.471,0.804,0.17,207.30380,14.69138,3,16
2026-09-12T10:23:55.10Z,47.9033367,2.1681882,116.251,-0.58,-0.18,-0.05,0.470,0.801,0.17,201.50606,12.72387,3,16
2026-09-12T10:23:55.20Z,47.9033361,2.1681880,116.268,-0.70,-0.12,0.13,0.469,0.799,0.18,194.62162,10.86249,3,16
2026-09-12T10:23:55.30Z,47.9033355,2.1681880,116.274,-0.74,0.02,0.29,0.469,0.797,0.19,186.78263,10.94344,3,16
2026-09-12T10:23:55.40Z,47.9033349,2.1681881,116.288,-0.70,0.14,-0.03,0.468,0.795,0.17,178.35191,11.69991,3,16
2026-09-12T10:23:55.50Z,47.9033343,2.1681883,116.317,-0.59,0.03,-0.17,0.468,0.793,0.17,177.81395,13.90916,3,16
2026-09-12T10:23:55.60Z,47.9033337,2.1681884,116.342,-0.77,0.05,0.14,0.467,0.791,0.16,177.02159,11.28526,3,16
2026-09-12T10:23:55.70Z,47.9033331,2.1681883,116.343,-0.61,-0.13,0.24,0.467,0.789,0.17,183.36566,13.47175,3,16
2026-09-12T10:23:55.80Z,47.9033327,2.1681881,116.352,-0.21,-0.16,0.11,0.466,0.788,0.17,188.97931,30.53405,3,16
2026-09-12T10:23:55.90Z,47.9033325,2.1681880,116.357,-0.23,0.05,0.21,0.465,0.786,0.18,180.79840,38.69620,3,16
2026-09-12T10:23:56.00Z,47.9033323,2.1681879,116.349,-0.23,-0.20,0.18,0.465,0.784,0.17,208.05294,26.57787,3,16
2026-09-12T10:23:56.10Z,47.9033322,2.1681877,116.357,0.06,-0.21,0.14,0.464,0.783,0.16,230.38567,42.00082,3,16
2026-09-12T10:23:56.20Z,47.9033322,2.1681874,116.360,-0.03,-0.33,0.22,0.464,0.782,0.17,255.43768,25.88745,3,16
2026-09-12T10:23:56.30Z,47.9033321,2.1681868,116.358,-0.13,-0.44,-0.01,0.464,0.782,0.17,253.86223,19.58577,3,16
2026-09-12T10:23:56.40Z,47.9033321,2.1681861,116.357,0.15,-0.67,0.02,0.463,0.784,0.17,273.21412,13.89327,3,16
2026-09-12T10:23:56.50Z,47.9033323,2.1681852,116.362,0.11,-0.52,0.07,0.463,0.785,0.17,276.42770,17.77330,3,16
2026-09-12T10:23:56.60Z,47.9033323,2.1681845,116.364,0.05,-0.53,0.06,0.463,0.787,0.17,276.03641,18.44695,3,16
2026-09-12T10:23:56.70Z,47.9033325,2.1681837,116.367,0.27,-0.61,0.09,0.463,0.788,0.16,287.19749,14.53557,3,16
2026-09-12T10:23:56.80Z,47.9033328,2.1681831,116.355,0.43,-0.43,-0.03,0.463,0.790,0.15,299.96000,15.69371,3,16
2026-09-12T10:23:56.90Z,47.9033333,2.1681826,116.352,0.58,-0.35,0.02,0.462,0.791,0.16,316.29038,13.84754,3,16
2026-09-12T10:23:57.00Z,47.9033338,2.1681821,116.358,0.58,-0.31,0.12,0.462,0.792,0.17,323.96606,13.81573,3,16
2026-09-12T10:23:57.10Z,47.9033344,2.1681817,116.355,0.64,-0.24,0.17,0.462,0.794,0.17,331.90900,13.22443,3,16
2026-09-12T10:23:57.20Z,47.9033349,2.1681814,116.354,0.69,-0.16,0.25,0.462,0.795,0.18,339.83385,12.63994,3,16
2026-09-12T10:23:57.30Z,47.9033355,2.1681812,116.347,0.58,-0.15,-0.06,0.461,0.796,0.15,342.47902,14.11721,3,16
2026-09-12T10:23:57.40Z,47.9033359,2.1681810,116.341,0.27,-0.26,-0.11,0.461,0.797,0.15,335.24850,22.98215,3,16
2026-09-12T10:23:57.50Z,47.9033361,2.1681806,116.353,0.25,-0.23,-0.02,0.460,0.798,0.15,326.87318,25.29116,3,16
2026-09-12T10:23:57.60Z,47.9033363,2.1681804,116.380,0.32,-0.08,0.14,0.460,0.799,0.18,336.51981,25.04037,3,16
2026-09-12T10:23:57.70Z,47.9033365,2.1681805,116.383,0.32,0.32,0.11,0.459,0.799,0.15,20.17158,18.94769,3,16
2026-09-12T10:23:57.80Z,47.9033367,2.1681809,116.383,0.15,0.38,0.27,0.459,0.798,0.15,41.72784,20.74350,3,16
2026-09-12T10:23:57.90Z,47.9033366,2.1681813,116.384,-0.17,0.25,0.31,0.458,0.798,0.18,72.03768,27.23051,3,16
2026-09-12T10:23:58.00Z,47.9033364,2.1681815,116.369,-0.24,-0.07,0.38,0.457,0.798,0.23,117.33119,35.91552,3,16
2026-09-12T10:23:58.10Z,47.9033362,2.1681814,116.334,-0.25,-0.11,-0.04,0.457,0.799,0.19,160.30723,36.01611,3,16
2026-09-12T10:23:58.20Z,47.9033360,2.1681813,116.339,-0.14,-0.11,0.11,0.457,0.801,0.23,160.30723,36.01641,3,16
2026-09-12T10:23:58.30Z,47.9033359,2.1681812,116.337,-0.14,-0.11,0.12,0.458,0.802,0.25,160.30723,36.01672,3,16
2026-09-12T10:23:58.40Z,47.9033358,2.1681811,116.344,-0.09,-0.07,0.02,0.460,0.805,0.29,160.30723,36.01708,3,16
2026-09-12T10:23:58.50Z,47.9033358,2.1681811,116.355,0.00,-0.07,0.04,0.462,0.808,0.27,160.30723,36.01742,3,16
2026-09-12T10:23:58.60Z,47.9033358,2.1681811,116.360,0.01,0.04,0.01,0.464,0.811,0.30,160.30723,36.01780,3,16
2026-09-12T10:23:58.70Z,47.9033358,2.1681812,116.362,0.07,-0.03,-0.04,0.467,0.815,0.33,160.30723,36.01821,3,16
